lat,lng,elevation,name
31.8310416,36.8285134,506 m,Araq Wetland Reserve
31.7510814,36.7567546,523 m,Shawmari Wildlife Reserve
31.49972325,35.60256154,1 m,Mujib Biosphere Reserve
32.3803094,35.7630497,1013 m,Ajloun Forest Reserve
30.76236585,35.44253321,81 m,Dana Biosphere Reserve
32.2442863,35.8341354,626 m,Dibeen Forest Reserve
32.67630295,35.71062032,179 m,Yarmouk Forest Reserve 
30.9614556,35.42708369,-382 m,Fifa Nature Reserve
29.5175168,35.38364304,1094 m,Wadi Rum Protected Area
29.5754218,34.985699,22 m,Aqaba Bird Observatory
